medicine_name,manufacturer,composition,packaging,price(Rs.)
Brusol 10,Himalaya,CETIRIZINE-20mg,10 tablets,226.93
Cetsol 10,Lupin,Clopidogrel (20mg),10 capsules,359.3
Augplus 10,Abbott India,sertraline(5 mg),10 tablets,192.38
Panplus 40,Wockhardt,levothyroxine(200 mg),5 ml,131.86
Augds 20,Glenmark,FLUOXETINE-250mg,1 bottle,516.32
Pancap 20,Aurobindo Pharma,Cetirizine (10 mg),15 tablets,450.9
Azeesr 500,GSK India,Azithromycin 500 mg,15 tablets,451.4
Amoxds 1000,Intas Pharma,Glimepiride 10 mg,6 tablets,372.14
Clavforte 20,Alkem Labs,metoprolol(100mg),5 ml,365.87
Augcin 1000,Sanofi India,CLOPIDOGREL-20mg,6 tablets,254.45
Omeds 10,Alkem Labs,PARACETAMOL-100mg,6 tablets,203.97
Dolocin 500,Novartis India,pantoprazole 1000mg,15 tablets,170.55
Bruplus 20,Dabur Pharma,vitamin d3 100mg,5 ml,328.28
Amoxod 250,Torrent Pharma,METOPROLOL-10mg,15 tablets,83.01
Amoxod 40,Himalaya,rabeprazole(250 mg),10 capsules,
Cetcap 10,Dabur Pharma,Ciprofloxacin (5mg),15 tablets,525.77
Augforte 1000,Pfizer India,metformin(20mg),1 bottle,304.22
Azeeforte 20,Hetero Drugs,Rabeprazole 1000  mg,30 tablets,54.29
Augsr 40,Wockhardt,PANTOPRAZOLE-200mg,10 capsules,475.07
Dolosr 40,Sun Pharma,FEXOFENADINE-500mg,5 ml,212.83
Pansol 10,Mankind Pharma,domperidone 1000 mg,6 tablets,221.71
Panod 1000,Torrent Pharma,clopidogrel 10mg,10 capsules,27.85
Pansr 20,Cipla,amoxicillin 200mg,10 capsules,382.29
Clavcap 40,Hetero Drugs,Gabapentin (10mg),10 tablets,443.83
Panforte 250,Pfizer India,Levocetirizine (10mg),6 tablets,515.87
Cetod 40,Glenmark,zinc sulphate 250mg,6 tablets,567.03
Azeecap 40,Dr Reddy,Ondansetron (10 mg),15 tablets,165.85
Panplus 1000,Wockhardt,calcium carbonate(5mg),15 tablets,339.85
Omecap 40,Dr Reddy,Omeprazole 200  mg,10 tablets,59.16
Dolosr 250,Alkem Labs,Ibuprofen (40mg),6 tablets,527.3
Amoxcap 1000,Cipla,domperidone 20mg,1 bottle,91.13
Amoxsr 1000,Mankind Pharma,DOMPERIDONE-200mg,30 tablets,62.71
Clavxr 500,Cipla,CLONAZEPAM-20mg,5 ml,326.47
Azeeds 40,Glenmark,ROSUVASTATIN-100mg,6 tablets,478.22
Omeds 40,Torrent Pharma,Losartan 5 mg,10 tablets,381.62
Clavcin 1000,Aurobindo Pharma,levothyroxine(500 mg),6 tablets,423.16
Dolotab 500,GSK India,Paracetamol 40 mg,30 tablets,548.58
Clavod 40,Dabur Pharma,Ranitidine 250 mg,1 bottle,265.5
Bruplus 250,Glenmark,losartan(500 mg),1 bottle,582.69
Amoxod 10,Wockhardt,Alprazolam 10 mg,5 ml,359.1
Cetcap 40,Himalaya,MONTELUKAST-5mg,5 ml,205.22
Cetsr 250,Pfizer India,montelukast 20mg,1 bottle,397.9
Metxr 250,Abbott India,MONTELUKAST-1000mg,5 ml,436.69
Omesr 20,Mankind Pharma,Esomeprazole 250 mg,30 tablets,414.58
Cetforte 500,Lupin,RABEPRAZOLE-20mg,1 bottle,244.73
Augod 250,Dr Reddy,fexofenadine(1000 mg),30 tablets,139.24
Panod 20,Sanofi India,esomeprazole 500 mg,5 ml,453.0
Amoxxr 250,Cipla,AMLODIPINE-40mg,15 tablets,209.04
Amoxxr 500,GSK India,Glimepiride 100 mg,10 tablets,104.82
Brucin 500,Lupin,tramadol 1000mg,6 tablets,196.86
Panplus 10,Aurobindo Pharma,Tramadol 250 mg,1 bottle,161.12
Dolods 1000,GSK India,diclofenac 5 mg,6 tablets,74.11
Clavplus 500,Sun Pharma,RABEPRAZOLE-1000mg,30 tablets,312.82
Omesr 10,Intas Pharma,Fexofenadine 500 mg,10 tablets,225.33
Pands 1000,Intas Pharma,losartan 10 mg,5 ml,
Dolocin 20,Dabur Pharma,Levothyroxine (100mg),10 tablets,445.3
Amoxforte 10,GSK India,CETIRIZINE-20mg,1 bottle,415.88
Doloforte 250,Cipla,Clonazepam 200  mg,10 tablets,94.88
Amoxxr 10,Dr Reddy,cetirizine(1000 mg),30 tablets,21.25
Amoxplus 20,Alkem Labs,Omeprazole (10 mg),10 capsules,312.31
Bruplus 40,GSK India,metformin(500 mg),15 tablets,415.81
Panxr 500,Intas Pharma,AMOXICILLIN-1000mg,30 tablets,19.08
Metsol 250,Glenmark,telmisartan(20 mg),10 tablets,427.73
Clavforte 20,Wockhardt,calcium carbonate(20 mg),6 tablets,
Augsr 500,Pfizer India,clopidogrel 250 mg,15 tablets,323.09
Augds 1000,Dr Reddy,ondansetron(500mg),6 tablets,57.19
Augcin 500,Pfizer India,montelukast 100mg,6 tablets,377.92
Augsol 10,Intas Pharma,Fexofenadine (10 mg),10 capsules,553.34
Omeod 1000,Alkem Labs,Azithromycin 10 mg,15 tablets,113.74
Metxr 20,Hetero Drugs,Ondansetron 400  mg,5 ml,173.1
Metxr 10,Novartis India,levothyroxine(5 mg),1 bottle,456.04
Azeeforte 10,Intas Pharma,Pantoprazole 40 mg,10 tablets,396.46
Panod 500,Wockhardt,Vitamin d3 10  mg,15 tablets,90.03
Clavsol 500,Sun Pharma,Calcium carbonate 200  mg,30 tablets,345.03
Azeesol 500,Aurobindo Pharma,esomeprazole(250mg),10 capsules,279.0
Omecin 500,Zydus Cadila,sertraline 5mg,30 tablets,349.94
Omeod 1000,Pfizer India,DICLOFENAC-400mg,10 capsules,524.27
Azeesr 10,Wockhardt,Atorvastatin (250mg),5 ml,49.66
Pansr 10,Novartis India,gabapentin(10mg),6 tablets,0.0
Azeesr 10,Aurobindo Pharma,ondansetron 500mg,6 tablets,474.15
Dolocap 500,Hetero Drugs,VITAMIN D3-10mg,1 bottle,478.97
Amoxforte 1000,Abbott India,Atorvastatin 20  mg,5 ml,416.0
Cetcap 20,Dabur Pharma,losartan 200 mg,10 tablets,178.75
Amoxsr 40,Mankind Pharma,esomeprazole 100mg,10 capsules,268.4
Bruplus 40,Intas Pharma,amlodipine(20mg),5 ml,142.93
Azeeds 10,Torrent Pharma,Metoprolol (200 mg),30 tablets,290.37
Doloxr 10,Glenmark,metoprolol(200 mg),10 capsules,391.84
Metplus 500,Dr Reddy,Sertraline (1000 mg),30 tablets,140.79
Clavcin 40,GSK India,azithromycin 5mg,1 bottle,508.68
Omeforte 20,Cipla,ciprofloxacin 5mg,1 bottle,47.78
Azeesol 500,Pfizer India,Gabapentin (1000mg),10 capsules,159.59
Clavplus 20,Mankind Pharma,Aspirin 400 mg,10 tablets,172.27
Metsol 500,Intas Pharma,atorvastatin(20mg),10 tablets,354.72
Augtab 10,Dr Reddy,gabapentin 500mg,15 tablets,57.36
Clavxr 250,Himalaya,doxycycline 40 mg,10 tablets,434.23
Bruod 1000,Torrent Pharma,Vitamin D3 (20 mg),5 ml,299.62
Azeesol 1000,Torrent Pharma,alprazolam 100mg,5 ml,170.97
Dolods 10,GSK India,DICLOFENAC-10mg,10 tablets,301.51
Azeecap 500,Glenmark,Montelukast 10 mg,6 tablets,469.04
Omeplus 20,Sanofi India,alprazolam 100mg,1 bottle,132.49
Cetforte 20,Mankind Pharma,DOMPERIDONE-1000mg,10 capsules,588.84
Amoxforte 500,GSK India,telmisartan 400mg,5 ml,189.29
Bruxr 250,Wockhardt,levothyroxine 20 mg,10 capsules,459.24
Metsol 40,Torrent Pharma,Rosuvastatin 20 mg,10 tablets,432.27
Azeesol 500,Glenmark,Levothyroxine 10  mg,10 capsules,373.59
Augod 10,Glenmark,ATORVASTATIN-400mg,6 tablets,571.61
Clavxr 250,Torrent Pharma,RABEPRAZOLE-40mg,10 capsules,68.05
Cettab 1000,Lupin,esomeprazole 20 mg,1 bottle,586.49
Azeetab 10,Himalaya,metoprolol 200 mg,15 tablets,153.17
Pancap 250,Intas Pharma,losartan(400 mg),6 tablets,523.47
Augsol 10,Mankind Pharma,ESOMEPRAZOLE-20mg,30 tablets,222.42
Omexr 10,Sun Pharma,losartan(200mg),15 tablets,242.61
Clavxr 250,Hetero Drugs,clonazepam(500mg),10 tablets,576.19
Ometab 20,Himalaya,gabapentin 40 mg,30 tablets,62.55
Clavsol 250,Himalaya,Pantoprazole (5 mg),1 bottle,462.13
Clavforte 10,Dr Reddy,diclofenac 20mg,15 tablets,320.41
Panod 10,Himalaya,Fexofenadine 250 mg,30 tablets,19.17
Augsol 20,Glenmark,losartan(400mg),10 capsules,555.81
Amoxcap 250,Zydus Cadila,METHYLCOBALAMIN-20mg,15 tablets,23.52
Dolosol 40,Dr Reddy,amlodipine 400 mg,30 tablets,131.61
Cetsr 250,Hetero Drugs,TELMISARTAN-400mg,10 tablets,501.82
Brusol 500,Pfizer India,Doxycycline (1000 mg),1 bottle,464.42
Cetsol 250,Sanofi India,ranitidine(5 mg),10 tablets,564.89
Azeeforte 10,Alkem Labs,LEVOTHYROXINE-10mg,10 tablets,159.13
Omeforte 1000,Aurobindo Pharma,Paracetamol 1000  mg,5 ml,567.87
Panplus 40,Aurobindo Pharma,Montelukast (400mg),1 bottle,391.24
Azeecap 500,Sun Pharma,aspirin(40mg),15 tablets,419.48
Cetxr 500,Dabur Pharma,doxycycline 100mg,1 bottle,111.39
Augsol 1000,Mankind Pharma,Ranitidine (500 mg),10 tablets,246.96
Pansr 250,Sun Pharma,Zinc Sulphate (250 mg),30 tablets,443.09
Cettab 250,Sanofi India,gabapentin(1000 mg),15 tablets,214.41
Azeesr 500,Pfizer India,Atorvastatin 10 mg,1 bottle,
Azeeforte 20,Zydus Cadila,sertraline 40 mg,30 tablets,403.71
Cetcap 500,Abbott India,METHYLCOBALAMIN-5mg,10 capsules,398.25
Cetplus 1000,Abbott India,GLIMEPIRIDE-10mg,30 tablets,428.59
Bruforte 40,Zydus Cadila,clonazepam 200 mg,30 tablets,93.97
Cetcin 500,Mankind Pharma,RABEPRAZOLE-500mg,10 tablets,103.84
Augsol 10,Himalaya,SERTRALINE-500mg,1 bottle,375.82
Amoxforte 10,Glenmark,telmisartan 5 mg,15 tablets,465.03
Doloxr 40,Dr Reddy,clopidogrel 5 mg,5 ml,23.05
Amoxcap 1000,Novartis India,Tramadol (10mg),6 tablets,189.76
Azeesol 500,Aurobindo Pharma,OMEPRAZOLE-5mg,5 ml,
Azeeds 250,Zydus Cadila,rosuvastatin(5 mg),10 capsules,481.75
Cetod 500,Mankind Pharma,clonazepam 40mg,10 tablets,507.2
Bruplus 10,Torrent Pharma,ZINC SULPHATE-10mg,10 tablets,541.37
Omeplus 40,Intas Pharma,TRAMADOL-250mg,10 tablets,337.01
Cetsr 500,Wockhardt,Zinc Sulphate (1000mg),15 tablets,460.64
Clavsol 500,Wockhardt,ASPIRIN-1000mg,1 bottle,501.92
Clavcap 500,Lupin,Telmisartan 20 mg,6 tablets,270.48
Omeod 10,Intas Pharma,paracetamol(10mg),10 capsules,145.45
Doloplus 250,Dr Reddy,GABAPENTIN-20mg,5 ml,233.85
Augplus 500,Mankind Pharma,tramadol(10 mg),6 tablets,317.52
Bruxr 250,GSK India,CALCIUM CARBONATE-500mg,5 ml,385.73
Amoxforte 250,Glenmark,telmisartan(200mg),1 bottle,15.65
Amoxtab 40,Himalaya,VITAMIN D3-40mg,1 bottle,296.81
Omeod 40,Cipla,Calcium carbonate 5  mg,10 capsules,572.81
Brucin 1000,Dabur Pharma,aspirin(500 mg),1 bottle,391.08
Pansol 20,Wockhardt,Clonazepam 500 mg,6 tablets,115.0
Amoxforte 40,Pfizer India,Glimepiride (10 mg),5 ml,211.68
Amoxcap 500,Pfizer India,diclofenac 500mg,6 tablets,338.62
Omeforte 1000,GSK India,ONDANSETRON-500mg,5 ml,372.91
Omexr 1000,Lupin,ciprofloxacin 250 mg,6 tablets,376.11
Augforte 500,Hetero Drugs,Domperidone 200 mg,30 tablets,575.91
Azeeds 500,Novartis India,vitamin d3(100mg),30 tablets,243.6
Dolods 1000,Zydus Cadila,omeprazole 1000 mg,6 tablets,242.88
Augcin 500,Glenmark,Glimepiride (200 mg),15 tablets,332.41
Augsol 500,Abbott India,FLUOXETINE-400mg,15 tablets,
Azeeod 500,Wockhardt,Zinc sulphate 40  mg,10 capsules,252.1
Amoxxr 1000,Hetero Drugs,methylcobalamin 1000 mg,5 ml,223.79
Metds 20,Zydus Cadila,Gabapentin (500 mg),30 tablets,84.23
Clavsol 40,Glenmark,alprazolam(40 mg),10 tablets,214.22
Pansr 20,Himalaya,ciprofloxacin 20 mg,5 ml,267.22
Panforte 10,Pfizer India,pantoprazole(250mg),10 capsules,521.61
Panod 10,Torrent Pharma,atorvastatin(200mg),6 tablets,263.05
Amoxforte 500,Intas Pharma,Ondansetron 5 mg,10 capsules,345.36
Panod 250,Glenmark,metoprolol(400 mg),5 ml,429.57
Cetsol 500,Wockhardt,atorvastatin(1000mg),6 tablets,588.03
Ometab 10,Lupin,Ranitidine 250 mg,30 tablets,347.81
Dolocap 250,Zydus Cadila,Levocetirizine 1000  mg,5 ml,192.23
Brusol 500,Mankind Pharma,Losartan (40 mg),30 tablets,215.91
Clavcin 20,Torrent Pharma,diclofenac(10mg),10 tablets,43.01
Amoxcin 20,Glenmark,Clonazepam (250mg),1 bottle,341.51
Dolotab 40,Novartis India,DOMPERIDONE-40mg,15 tablets,548.27
Augcin 20,Zydus Cadila,diclofenac(40mg),5 ml,30.95
Cetod 20,Lupin,azithromycin 100mg,30 tablets,107.09
Brusr 250,Novartis India,Metoprolol 250  mg,5 ml,403.87
Brucin 1000,Alkem Labs,Metoprolol 400 mg,5 ml,42.71
Dolods 20,Dr Reddy,vitamin d3(10mg),6 tablets,348.45
Augsol 1000,Glenmark,gabapentin 5mg,15 tablets,566.99
Dolods 10,GSK India,Omeprazole (40 mg),10 tablets,368.92
Omeplus 20,Cipla,glimepiride(500mg),15 tablets,450.73
Amoxxr 500,Sun Pharma,levothyroxine(500mg),10 tablets,216.25
Dolocin 500,Mankind Pharma,fexofenadine(5 mg),10 capsules,66.4
Clavod 250,GSK India,LEVOTHYROXINE-1000mg,15 tablets,34.78
Dolocap 10,Abbott India,Azithromycin (100mg),6 tablets,497.33
Clavplus 10,Dabur Pharma,AMOXICILLIN-20mg,15 tablets,410.79
Panxr 10,Wockhardt,montelukast 5mg,6 tablets,231.26
Brucin 40,Sun Pharma,fluoxetine(200mg),6 tablets,462.14
Augtab 500,Mankind Pharma,Atorvastatin (10mg),5 ml,325.87
Clavplus 250,Intas Pharma,ondansetron(100mg),30 tablets,458.51
Cetds 250,GSK India,domperidone(1000mg),15 tablets,285.62
Bruod 1000,Dr Reddy,Rabeprazole (40mg),15 tablets,267.36
Dolocin 20,Alkem Labs,AMOXICILLIN-5mg,6 tablets,16.41
Panxr 10,Pfizer India,losartan 40mg,15 tablets,98.63
Augtab 500,Pfizer India,ranitidine 5mg,10 tablets,364.18
Omexr 20,Lupin,Pregabalin (250 mg),6 tablets,324.29
Metcin 10,Zydus Cadila,Levothyroxine (500 mg),10 tablets,0.0
Panod 20,Abbott India,Rabeprazole (200 mg),5 ml,51.76
Augsol 40,Dabur Pharma,methylcobalamin 1000 mg,1 bottle,298.41
Dolosol 500,Pfizer India,TRAMADOL-40mg,10 capsules,177.82
Panxr 1000,Hetero Drugs,RABEPRAZOLE-200mg,6 tablets,93.24
Dolosol 10,Zydus Cadila,Gabapentin 400 mg,5 ml,257.32
Doloxr 500,Hetero Drugs,Diclofenac 1000  mg,30 tablets,436.2
Augds 10,Dabur Pharma,DOMPERIDONE-200mg,30 tablets,229.89
Clavxr 250,Pfizer India,sertraline(10mg),30 tablets,126.05
Pansol 10,Mankind Pharma,Rabeprazole 5  mg,1 bottle,343.9
Metcap 10,Himalaya,Methylcobalamin 20 mg,5 ml,195.36
Pantab 250,Dabur Pharma,fluoxetine(250 mg),10 capsules,0.0
Metcap 500,Glenmark,Metformin (250 mg),30 tablets,190.08
Cetplus 1000,GSK India,Levothyroxine 200  mg,30 tablets,68.09
Clavxr 500,Lupin,Metoprolol 40 mg,10 capsules,340.51
Omecin 500,Zydus Cadila,Telmisartan (400mg),1 bottle,529.1
Clavcap 10,Pfizer India,ibuprofen 200 mg,10 capsules,537.24
Omecap 500,Dr Reddy,methylcobalamin 500 mg,30 tablets,377.43
Omeforte 20,Intas Pharma,azithromycin 5mg,6 tablets,590.27
Amoxsol 20,Hetero Drugs,VITAMIN D3-10mg,5 ml,173.91
Metplus 1000,Cipla,FLUOXETINE-250mg,6 tablets,273.77
Cetod 250,Novartis India,tramadol 1000mg,10 tablets,0.0
Panplus 40,Aurobindo Pharma,Rabeprazole 5 mg,1 bottle,230.08
Amoxds 500,Zydus Cadila,fexofenadine 10 mg,30 tablets,297.39
Cettab 500,Lupin,omeprazole(250 mg),10 tablets,52.05
Panforte 20,Sun Pharma,Aspirin (1000mg),6 tablets,49.67
Pancap 500,Dabur Pharma,Tramadol (250 mg),10 tablets,551.46
Pantab 10,Abbott India,Omeprazole 250 mg,15 tablets,197.68
Amoxod 250,Mankind Pharma,domperidone(40 mg),1 bottle,269.97
Mettab 40,Novartis India,DOMPERIDONE-200mg,10 capsules,458.91
Clavxr 20,Himalaya,Ciprofloxacin 40 mg,30 tablets,387.23
Amoxplus 500,Sun Pharma,rosuvastatin(400mg),6 tablets,46.27
Omeforte 20,Pfizer India,Metformin (10 mg),10 tablets,464.66
Dolosr 1000,Torrent Pharma,calcium carbonate(1000mg),6 tablets,447.38
Clavcap 250,Alkem Labs,fluoxetine(250 mg),15 tablets,416.99
Cetcap 40,Pfizer India,Levothyroxine 1000  mg,1 bottle,
Dolocin 10,Zydus Cadila,Amlodipine 250  mg,1 bottle,476.49
Brusr 500,Lupin,VITAMIN D3-40mg,10 tablets,168.37
Metsr 20,Torrent Pharma,pantoprazole(100mg),15 tablets,436.45
Omeforte 40,Hetero Drugs,Pantoprazole (40 mg),10 tablets,290.21
Amoxcap 1000,GSK India,Fluoxetine 5 mg,10 tablets,381.23
Dolocap 1000,Intas Pharma,azithromycin(20mg),30 tablets,
Metforte 40,Alkem Labs,ESOMEPRAZOLE-10mg,30 tablets,550.12
Metcap 1000,Glenmark,pregabalin(250 mg),6 tablets,470.7
Augcin 1000,GSK India,VITAMIN D3-400mg,10 capsules,310.49
Augod 40,Sanofi India,Zinc Sulphate (250 mg),1 bottle,165.48
Metsol 40,Cipla,telmisartan 20mg,1 bottle,9.81
Dolood 20,Glenmark,pregabalin 20mg,1 bottle,126.43
Metds 20,Cipla,calcium carbonate 10mg,6 tablets,175.21
Amoxcin 250,Alkem Labs,paracetamol 100mg,15 tablets,393.77
Cetod 10,Aurobindo Pharma,Tramadol 20 mg,10 capsules,457.01
Cetod 500,Pfizer India,telmisartan(5mg),30 tablets,0.0
Cetforte 40,GSK India,metformin(250 mg),30 tablets,0.0
Clavcin 40,Mankind Pharma,Fexofenadine 250  mg,30 tablets,175.48
Omecap 500,GSK India,ALPRAZOLAM-500mg,10 tablets,68.53
Bruforte 250,Glenmark,omeprazole 500 mg,10 tablets,299.53
Metsr 500,Dr Reddy,ondansetron(20mg),5 ml,76.23
Metsr 250,Sun Pharma,aspirin(500mg),10 tablets,32.97
Brucin 20,Glenmark,amlodipine 5 mg,1 bottle,461.2
Clavcin 500,Cipla,Levocetirizine (400 mg),15 tablets,143.87
Cetxr 500,Sanofi India,omeprazole 200 mg,5 ml,0.0
Azeexr 500,Novartis India,zinc sulphate 100mg,30 tablets,502.21
Amoxsr 250,Aurobindo Pharma,domperidone 250 mg,10 tablets,271.76
Brutab 40,Lupin,ONDANSETRON-5mg,10 tablets,560.39
Augcin 40,Intas Pharma,montelukast(5mg),30 tablets,378.66
Pansol 500,Sun Pharma,losartan(5mg),30 tablets,517.33
Cetsr 10,Aurobindo Pharma,Rabeprazole 250  mg,10 capsules,340.01
Panod 250,Lupin,aspirin(1000mg),10 tablets,515.44
Omecin 1000,Himalaya,Montelukast 20  mg,15 tablets,135.46
Panplus 250,Wockhardt,esomeprazole 1000mg,6 tablets,539.92
Pantab 250,GSK India,Doxycycline (10mg),15 tablets,437.09
Clavsr 250,Sun Pharma,pregabalin 200mg,6 tablets,441.01
Augxr 500,GSK India,Rabeprazole (250mg),1 bottle,583.96
Amoxcin 40,GSK India,atorvastatin 200mg,15 tablets,169.0
Bruds 40,Himalaya,Diclofenac (250mg),5 ml,297.21
Dolosr 10,Dr Reddy,metformin 100mg,10 capsules,330.4
Doloxr 500,Glenmark,PREGABALIN-400mg,6 tablets,351.49
Doloxr 250,Novartis India,Glimepiride 20 mg,1 bottle,364.47
Cetcin 1000,Novartis India,Rosuvastatin 20  mg,5 ml,307.76
Clavcap 500,Mankind Pharma,calcium carbonate(250 mg),5 ml,496.21
Omeod 250,Cipla,azithromycin(5 mg),10 capsules,158.79
Dolods 10,Lupin,Ciprofloxacin 250  mg,30 tablets,317.69
Augcap 40,Abbott India,Rosuvastatin (10 mg),6 tablets,
Amoxsol 10,Zydus Cadila,Alprazolam 10 mg,10 tablets,187.29
Omesol 500,Sun Pharma,Domperidone (250mg),30 tablets,497.97
Brucin 40,Hetero Drugs,Diclofenac 10 mg,6 tablets,361.76
Clavod 250,Himalaya,montelukast(10 mg),1 bottle,410.04
Bruds 250,GSK India,rosuvastatin 250mg,5 ml,258.24
Omesr 1000,Cipla,Fluoxetine 250 mg,1 bottle,329.89
Clavsr 250,Glenmark,Cetirizine 20  mg,15 tablets,199.14
Pancap 20,Wockhardt,diclofenac(5mg),10 tablets,518.73
Amoxod 10,Mankind Pharma,diclofenac(1000mg),1 bottle,482.37
Cetsr 1000,Sanofi India,Losartan (200 mg),1 bottle,0.0
Cettab 500,Lupin,Calcium carbonate 250  mg,6 tablets,293.43
Metforte 40,Intas Pharma,Ranitidine (1000 mg),15 tablets,353.47
Clavod 250,Zydus Cadila,AZITHROMYCIN-10mg,15 tablets,267.35
Brusr 250,Novartis India,ibuprofen 5 mg,10 tablets,173.11
Bruds 500,Hetero Drugs,atorvastatin 1000mg,1 bottle,544.72
Metsr 40,Mankind Pharma,pantoprazole(1000mg),6 tablets,597.94
Azeecin 500,Wockhardt,atorvastatin(40mg),10 tablets,127.85
Pantab 20,Cipla,ondansetron 250mg,10 capsules,
Metsol 40,GSK India,AMLODIPINE-250mg,5 ml,289.06
Cetds 500,Dr Reddy,rabeprazole(400 mg),15 tablets,517.82
Bruforte 500,Abbott India,ATORVASTATIN-200mg,6 tablets,498.16
Doloxr 10,Sun Pharma,Amoxicillin 250  mg,15 tablets,367.01
Cetsol 20,Sanofi India,amlodipine(40 mg),1 bottle,316.59
Omecap 40,Dr Reddy,Calcium carbonate 250 mg,10 capsules,31.65
Amoxsr 20,Dabur Pharma,clopidogrel(100mg),30 tablets,296.77
Clavcap 10,Dabur Pharma,vitamin d3(400 mg),6 tablets,207.55
Amoxplus 1000,Dr Reddy,gabapentin(5 mg),30 tablets,359.9
Amoxsol 1000,Alkem Labs,levothyroxine(400mg),30 tablets,314.46
Amoxsol 40,Zydus Cadila,fexofenadine(5mg),5 ml,414.1
Omeplus 40,Sanofi India,doxycycline(20 mg),15 tablets,154.24
Brusr 40,Hetero Drugs,Clopidogrel 40 mg,15 tablets,168.28
Omexr 20,Dr Reddy,metoprolol(200mg),30 tablets,0.0
Clavplus 20,Pfizer India,Domperidone 200 mg,10 capsules,343.93
Bruxr 1000,Lupin,fexofenadine(40 mg),1 bottle,78.71
Azeeds 1000,Torrent Pharma,Metformin (500mg),10 tablets,83.43
Pantab 1000,Himalaya,Fexofenadine (5mg),10 tablets,586.29
Clavplus 20,Dabur Pharma,ASPIRIN-400mg,10 capsules,
Brusol 20,Mankind Pharma,VITAMIN D3-250mg,5 ml,372.85
Metxr 500,Lupin,Zinc sulphate 200 mg,10 tablets,151.28
Amoxxr 20,Sun Pharma,Ciprofloxacin (200mg),15 tablets,517.65
Augsr 500,Wockhardt,Ciprofloxacin (10mg),6 tablets,445.59
Augxr 20,Torrent Pharma,rabeprazole(250mg),15 tablets,0.0
Dolocap 40,Dabur Pharma,Alprazolam 1000  mg,15 tablets,53.8
Doloxr 1000,Alkem Labs,PANTOPRAZOLE-1000mg,30 tablets,155.27
Omesr 40,Himalaya,Calcium Carbonate (40 mg),15 tablets,481.66
Augxr 250,Wockhardt,Rabeprazole 250 mg,6 tablets,266.92
Clavds 20,Mankind Pharma,LOSARTAN-40mg,15 tablets,
Cettab 20,Abbott India,Rabeprazole (500 mg),10 tablets,0.0
Amoxcap 10,Pfizer India,omeprazole 5 mg,15 tablets,172.88
Omeod 250,Dr Reddy,montelukast(40mg),15 tablets,346.98
Cetsol 250,GSK India,ranitidine(100mg),1 bottle,486.18
Omesr 20,Mankind Pharma,atorvastatin 10mg,10 capsules,458.43
Cetplus 20,Glenmark,Ranitidine (400mg),5 ml,489.48
Cetcap 500,Cipla,ONDANSETRON-20mg,1 bottle,518.12
Omesol 500,Pfizer India,TELMISARTAN-20mg,15 tablets,386.96
Azeesr 40,Intas Pharma,Rabeprazole (20mg),1 bottle,454.52
Clavod 40,Hetero Drugs,clonazepam(20 mg),5 ml,503.88
Pansol 250,GSK India,levocetirizine(40mg),15 tablets,363.08
Dolocin 1000,Aurobindo Pharma,Calcium carbonate 10  mg,30 tablets,296.44
Amoxxr 500,Zydus Cadila,metoprolol(20 mg),6 tablets,92.25
Augforte 500,Pfizer India,Losartan 40  mg,6 tablets,282.27
Dolosr 10,Hetero Drugs,metoprolol 10mg,10 tablets,533.13
Pansr 250,Novartis India,glimepiride(500 mg),1 bottle,216.67
Azeeplus 250,Zydus Cadila,Pantoprazole (250mg),6 tablets,22.61
Clavsr 1000,Glenmark,Ibuprofen 20  mg,5 ml,376.09
Augxr 20,Pfizer India,Clonazepam (200 mg),5 ml,29.4
Bruforte 40,Zydus Cadila,Methylcobalamin (5 mg),5 ml,430.85
Bruplus 10,Dr Reddy,METOPROLOL-20mg,10 capsules,0.0
Metxr 500,Wockhardt,PARACETAMOL-20mg,10 capsules,260.73
Panplus 40,Mankind Pharma,Doxycycline (250mg),5 ml,293.74
Augforte 20,Dr Reddy,Pantoprazole (40 mg),6 tablets,438.93
Doloforte 20,Novartis India,losartan(200 mg),5 ml,100.11
Panxr 10,Abbott India,clonazepam(200mg),15 tablets,169.14
Amoxtab 500,Intas Pharma,ondansetron(500mg),5 ml,336.57
Azeeds 1000,Lupin,ASPIRIN-20mg,6 tablets,252.29
Augtab 1000,Mankind Pharma,MONTELUKAST-1000mg,10 capsules,0.0
Panforte 1000,Wockhardt,ONDANSETRON-10mg,1 bottle,77.99
Brusol 1000,Alkem Labs,fluoxetine(1000 mg),1 bottle,152.0
Ometab 250,Aurobindo Pharma,calcium carbonate(250 mg),5 ml,56.73
Pansr 500,Zydus Cadila,Fexofenadine (40 mg),10 tablets,27.35
Amoxforte 250,Cipla,Rosuvastatin (200 mg),15 tablets,31.05
Augtab 1000,Mankind Pharma,ZINC SULPHATE-250mg,1 bottle,359.28
Clavplus 500,Dr Reddy,ZINC SULPHATE-100mg,1 bottle,388.93
Dolocap 40,Cipla,calcium carbonate 400mg,1 bottle,287.81
Metplus 40,Wockhardt,Montelukast 100 mg,5 ml,201.35
Omecap 250,Cipla,Metoprolol (500mg),10 capsules,598.95
Augxr 10,Himalaya,glimepiride 250 mg,15 tablets,80.59
Panforte 500,Alkem Labs,pregabalin 200 mg,1 bottle,239.35
Bruforte 10,GSK India,LOSARTAN-1000mg,1 bottle,86.68
Cetplus 10,Mankind Pharma,fexofenadine(250 mg),10 tablets,63.18
Augplus 500,Sanofi India,AMOXICILLIN-20mg,10 capsules,434.7
